ID,Banca,Corporacao,Materia,Tema,Enunciado,A,B,C,D,E,Gabarito,Explicacao
61,VUNESP,PC-SP,Língua Portuguesa,Conjunções e conectivos,"Em relatório de Conjunções e conectivos, a redação oficial exige:",Uso obrigatório de crase em 'conjunções e conectivos' à disposição.,Correção: à medida que a equipe chegou ao local.,Incorreto: uso de crase antes de verbo.,Facultativo o uso de crase em pronomes.,Vedado uso de crase antes de masculino.,B,Gabarito B. Conjunções e conectivos em Língua Portuguesa: conforme banca VUNESP para PC-SP. Entendimento pacificado nos tribunais superiores.
62,FGV,PP-SP,Língua Portuguesa,"Crase, regência e concordância","Assinale a alternativa correta quanto à crase em contexto policial: Crase, regência e concordância","Uso obrigatório de crase em 'crase, regência e concordância' à disposição.",Correção: à medida que a equipe chegou ao local.,Vedado uso de crase antes de masculino.,Incorreto: uso de crase antes de verbo.,Facultativo o uso de crase em pronomes.,C,"Gabarito C. Crase, regência e concordância em Língua Portuguesa: conforme banca FGV para PP-SP. Conforme manual e legislação específica."
63,FGV,PP-SP,Língua Portuguesa,Interpretação de texto,"Quanto à Interpretação de texto, assinale a alternativa que atende à norma padrão:",Vedado uso de crase antes de masculino.,Uso obrigatório de crase em 'interpretação de texto' à disposição.,Correção: à medida que a equipe chegou ao local.,Incorreto: uso de crase antes de verbo.,Facultativo o uso de crase em pronomes.,B,Gabarito B. Interpretação de texto em Língua Portuguesa: conforme banca FGV para PP-SP. Entendimento pacificado nos tribunais superiores.
64,VUNESP,PP-SP,Língua Portuguesa,Pontuação,"Quanto à Pontuação, assinale a alternativa que atende à norma padrão:",Facultativo o uso de crase em pronomes.,Vedado uso de crase antes de masculino.,Correção: à medida que a equipe chegou ao local.,Uso obrigatório de crase em 'pontuação' à disposição.,Incorreto: uso de crase antes de verbo.,C,Gabarito C. Pontuação em Língua Portuguesa: conforme banca VUNESP para PP-SP. Conforme manual e legislação específica.
65,FGV,GCM-SP,Língua Portuguesa,Interpretação de texto,"Em relatório de Interpretação de texto, a redação oficial exige:",Correção: à medida que a equipe chegou ao local.,Uso obrigatório de crase em 'interpretação de texto' à disposição.,Facultativo o uso de crase em pronomes.,Vedado uso de crase antes de masculino.,Incorreto: uso de crase antes de verbo.,A,Gabarito A. Interpretação de texto em Língua Portuguesa: conforme banca FGV para GCM-SP. Padrão cobrado em provas de áreas policiais SP.
66,VUNESP,PP-SP,Língua Portuguesa,"Crase, regência e concordância","Quanto à Crase, regência e concordância, assinale a alternativa que atende à norma padrão:","Uso obrigatório de crase em 'crase, regência e concordância' à disposição.",Facultativo o uso de crase em pronomes.,Incorreto: uso de crase antes de verbo.,Correção: à medida que a equipe chegou ao local.,Vedado uso de crase antes de masculino.,C,"Gabarito C. Crase, regência e concordância em Língua Portuguesa: conforme banca VUNESP para PP-SP. Conforme manual e legislação específica."
67,VUNESP,GCM-SP,Língua Portuguesa,"Crase, regência e concordância","Sobre Crase, regência e concordância em ocorrência policial, conforme norma culta, assinale a correta:","Uso obrigatório de crase em 'crase, regência e concordância' à disposição.",Incorreto: uso de crase antes de verbo.,Vedado uso de crase antes de masculino.,Correção: à medida que a equipe chegou ao local.,Facultativo o uso de crase em pronomes.,C,"Gabarito C. Crase, regência e concordância em Língua Portuguesa: conforme banca VUNESP para GCM-SP. Entendimento pacificado nos tribunais superiores."
68,FGV,GCM-SP,Língua Portuguesa,Pontuação,"Quanto à Pontuação, assinale a alternativa que atende à norma padrão:",Facultativo o uso de crase em pronomes.,Uso obrigatório de crase em 'pontuação' à disposição.,Correção: à medida que a equipe chegou ao local.,Vedado uso de crase antes de masculino.,Incorreto: uso de crase antes de verbo.,B,Gabarito B. Pontuação em Língua Portuguesa: conforme banca FGV para GCM-SP. Padrão cobrado em provas de áreas policiais SP.
69,VUNESP,PM-SP,Língua Portuguesa,Ortografia e acentuação,"Sobre Ortografia e acentuação em ocorrência policial, conforme norma culta, assinale a correta:",Uso obrigatório de crase em 'ortografia e acentuação' à disposição.,Incorreto: uso de crase antes de verbo.,Vedado uso de crase antes de masculino.,Facultativo o uso de crase em pronomes.,Correção: à medida que a equipe chegou ao local.,B,Gabarito B. Ortografia e acentuação em Língua Portuguesa: conforme banca VUNESP para PM-SP. Padrão cobrado em provas de áreas policiais SP.
70,VUNESP,GCM-SP,Língua Portuguesa,Ortografia e acentuação,"Sobre Ortografia e acentuação em ocorrência policial, conforme norma culta, assinale a correta:",Correção: à medida que a equipe chegou ao local.,Facultativo o uso de crase em pronomes.,Vedado uso de crase antes de masculino.,Uso obrigatório de crase em 'ortografia e acentuação' à disposição.,Incorreto: uso de crase antes de verbo.,B,Gabarito B. Ortografia e acentuação em Língua Portuguesa: conforme banca VUNESP para GCM-SP. Doutrina majoritária e jurisprudência atual.
71,FGV,PM-SP,Língua Portuguesa,"Crase, regência e concordância","Quanto à Crase, regência e concordância, assinale a alternativa que atende à norma padrão:",Facultativo o uso de crase em pronomes.,Correção: à medida que a equipe chegou ao local.,Incorreto: uso de crase antes de verbo.,Vedado uso de crase antes de masculino.,"Uso obrigatório de crase em 'crase, regência e concordância' à disposição.",C,"Gabarito C. Crase, regência e concordância em Língua Portuguesa: conforme banca FGV para PM-SP. Conforme manual e legislação específica."
72,FGV,PM-SP,Língua Portuguesa,Pontuação,Assinale a alternativa correta quanto à crase em contexto policial: Pontuação,Correção: à medida que a equipe chegou ao local.,Vedado uso de crase antes de masculino.,Uso obrigatório de crase em 'pontuação' à disposição.,Facultativo o uso de crase em pronomes.,Incorreto: uso de crase antes de verbo.,C,Gabarito C. Pontuação em Língua Portuguesa: conforme banca FGV para PM-SP. Conforme manual e legislação específica.
73,VUNESP,PM-SP,Língua Portuguesa,"Crase, regência e concordância","Sobre Crase, regência e concordância em ocorrência policial, conforme norma culta, assinale a correta:",Correção: à medida que a equipe chegou ao local.,Facultativo o uso de crase em pronomes.,"Uso obrigatório de crase em 'crase, regência e concordância' à disposição.",Incorreto: uso de crase antes de verbo.,Vedado uso de crase antes de masculino.,B,"Gabarito B. Crase, regência e concordância em Língua Portuguesa: conforme banca VUNESP para PM-SP. Conforme manual e legislação específica."
74,VUNESP,PP-SP,Língua Portuguesa,Concordância verbal,"Quanto à Concordância verbal, assinale a alternativa que atende à norma padrão:",Uso obrigatório de crase em 'concordância verbal' à disposição.,Correção: à medida que a equipe chegou ao local.,Vedado uso de crase antes de masculino.,Incorreto: uso de crase antes de verbo.,Facultativo o uso de crase em pronomes.,B,Gabarito B. Concordância verbal em Língua Portuguesa: conforme banca VUNESP para PP-SP. Doutrina majoritária e jurisprudência atual.
75,VUNESP,PM-SP,Língua Portuguesa,Concordância verbal,"Sobre Concordância verbal em ocorrência policial, conforme norma culta, assinale a correta:",Correção: à medida que a equipe chegou ao local.,Vedado uso de crase antes de masculino.,Facultativo o uso de crase em pronomes.,Uso obrigatório de crase em 'concordância verbal' à disposição.,Incorreto: uso de crase antes de verbo.,C,Gabarito C. Concordância verbal em Língua Portuguesa: conforme banca VUNESP para PM-SP. Doutrina majoritária e jurisprudência atual.
76,VUNESP,PP-SP,Língua Portuguesa,Interpretação de texto,"Quanto à Interpretação de texto, assinale a alternativa que atende à norma padrão:",Incorreto: uso de crase antes de verbo.,Uso obrigatório de crase em 'interpretação de texto' à disposição.,Correção: à medida que a equipe chegou ao local.,Facultativo o uso de crase em pronomes.,Vedado uso de crase antes de masculino.,C,Gabarito C. Interpretação de texto em Língua Portuguesa: conforme banca VUNESP para PP-SP. Entendimento pacificado nos tribunais superiores.
77,FGV,PP-SP,Língua Portuguesa,Conjunções e conectivos,Assinale a alternativa correta quanto à crase em contexto policial: Conjunções e conectivos,Vedado uso de crase antes de masculino.,Uso obrigatório de crase em 'conjunções e conectivos' à disposição.,Facultativo o uso de crase em pronomes.,Incorreto: uso de crase antes de verbo.,Correção: à medida que a equipe chegou ao local.,C,Gabarito C. Conjunções e conectivos em Língua Portuguesa: conforme banca FGV para PP-SP. Doutrina majoritária e jurisprudência atual.
78,VUNESP,PM-SP,Língua Portuguesa,Concordância verbal,"Em relatório de Concordância verbal, a redação oficial exige:",Vedado uso de crase antes de masculino.,Incorreto: uso de crase antes de verbo.,Facultativo o uso de crase em pronomes.,Uso obrigatório de crase em 'concordância verbal' à disposição.,Correção: à medida que a equipe chegou ao local.,B,Gabarito B. Concordância verbal em Língua Portuguesa: conforme banca VUNESP para PM-SP. Entendimento pacificado nos tribunais superiores.
79,VUNESP,PP-SP,Língua Portuguesa,Pontuação,"Em relatório de Pontuação, a redação oficial exige:",Uso obrigatório de crase em 'pontuação' à disposição.,Correção: à medida que a equipe chegou ao local.,Vedado uso de crase antes de masculino.,Incorreto: uso de crase antes de verbo.,Facultativo o uso de crase em pronomes.,C,Gabarito C. Pontuação em Língua Portuguesa: conforme banca VUNESP para PP-SP. Doutrina majoritária e jurisprudência atual.
80,VUNESP,PP-SP,Língua Portuguesa,Concordância verbal,"Em relatório de Concordância verbal, a redação oficial exige:",Correção: à medida que a equipe chegou ao local.,Facultativo o uso de crase em pronomes.,Uso obrigatório de crase em 'concordância verbal' à disposição.,Incorreto: uso de crase antes de verbo.,Vedado uso de crase antes de masculino.,C,Gabarito C. Concordância verbal em Língua Portuguesa: conforme banca VUNESP para PP-SP. Doutrina majoritária e jurisprudência atual.
81,FGV,PC-SP,Língua Portuguesa,Conjunções e conectivos,"Sobre Conjunções e conectivos em ocorrência policial, conforme norma culta, assinale a correta:",Incorreto: uso de crase antes de verbo.,Uso obrigatório de crase em 'conjunções e conectivos' à disposição.,Correção: à medida que a equipe chegou ao local.,Vedado uso de crase antes de masculino.,Facultativo o uso de crase em pronomes.,A,Gabarito A. Conjunções e conectivos em Língua Portuguesa: conforme banca FGV para PC-SP. Conforme manual e legislação específica.
82,FGV,PC-SP,Língua Portuguesa,Conjunções e conectivos,"Quanto à Conjunções e conectivos, assinale a alternativa que atende à norma padrão:",Uso obrigatório de crase em 'conjunções e conectivos' à disposição.,Vedado uso de crase antes de masculino.,Correção: à medida que a equipe chegou ao local.,Facultativo o uso de crase em pronomes.,Incorreto: uso de crase antes de verbo.,B,Gabarito B. Conjunções e conectivos em Língua Portuguesa: conforme banca FGV para PC-SP. Padrão cobrado em provas de áreas policiais SP.
83,FGV,PP-SP,Língua Portuguesa,Ortografia e acentuação,"Em relatório de Ortografia e acentuação, a redação oficial exige:",Incorreto: uso de crase antes de verbo.,Vedado uso de crase antes de masculino.,Correção: à medida que a equipe chegou ao local.,Uso obrigatório de crase em 'ortografia e acentuação' à disposição.,Facultativo o uso de crase em pronomes.,B,Gabarito B. Ortografia e acentuação em Língua Portuguesa: conforme banca FGV para PP-SP. Entendimento pacificado nos tribunais superiores.
84,VUNESP,PP-SP,Língua Portuguesa,Ortografia e acentuação,Assinale a alternativa correta quanto à crase em contexto policial: Ortografia e acentuação,Incorreto: uso de crase antes de verbo.,Uso obrigatório de crase em 'ortografia e acentuação' à disposição.,Correção: à medida que a equipe chegou ao local.,Facultativo o uso de crase em pronomes.,Vedado uso de crase antes de masculino.,C,Gabarito C. Ortografia e acentuação em Língua Portuguesa: conforme banca VUNESP para PP-SP. Entendimento pacificado nos tribunais superiores.
85,FGV,PP-SP,Língua Portuguesa,Concordância verbal,Assinale a alternativa correta quanto à crase em contexto policial: Concordância verbal,Vedado uso de crase antes de masculino.,Uso obrigatório de crase em 'concordância verbal' à disposição.,Facultativo o uso de crase em pronomes.,Incorreto: uso de crase antes de verbo.,Correção: à medida que a equipe chegou ao local.,B,Gabarito B. Concordância verbal em Língua Portuguesa: conforme banca FGV para PP-SP. Conforme manual e legislação específica.
